_time;_value;_field;_time;_value;_field
2022-03-03T18:51:06.1Z;8.61;Accelerazione_Media_DX;2022-03-03T18:51:41.2Z;0.47;Accelerazione_Media_SX
2022-03-03T18:51:06.4Z;1.6;Accelerazione_Media_DX;2022-03-03T18:51:51.9Z;0.44;Accelerazione_Media_SX
2022-03-03T18:51:17.8Z;5.03;Accelerazione_Media_DX;2022-03-03T18:51:52.4Z;0.45;Accelerazione_Media_SX
2022-03-03T18:51:20.9Z;1.18;Accelerazione_Media_DX;2022-03-03T18:51:52.7Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:21.1Z;1.14;Accelerazione_Media_DX;2022-03-03T18:51:52.9Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:21.4Z;1.19;Accelerazione_Media_DX;2022-03-03T18:51:53.1Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:21.6Z;1.14;Accelerazione_Media_DX;2022-03-03T18:51:53.4Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:21.8Z;1.17;Accelerazione_Media_DX;2022-03-03T18:51:56.4Z;0.48;Accelerazione_Media_SX
2022-03-03T18:51:22Z;1.16;Accelerazione_Media_DX;2022-03-03T18:51:56.9Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:24.8Z;1.16;Accelerazione_Media_DX;2022-03-03T18:51:57.2Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:25Z;1.16;Accelerazione_Media_DX;2022-03-03T18:51:57.4Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:25.3Z;1.17;Accelerazione_Media_DX;2022-03-03T18:51:57.6Z;0.47;Accelerazione_Media_SX
2022-03-03T18:51:25.5Z;1.16;Accelerazione_Media_DX;2022-03-03T18:51:57.9Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:25.7Z;1.18;Accelerazione_Media_DX;2022-03-03T18:51:58.1Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:26Z;1.16;Accelerazione_Media_DX;2022-03-03T18:51:58.4Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:26.2Z;1.18;Accelerazione_Media_DX;2022-03-03T18:52:01.4Z;0.47;Accelerazione_Media_SX
2022-03-03T18:51:26.4Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:02.8Z;0.47;Accelerazione_Media_SX
2022-03-03T18:51:28.1Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:03Z;0.45;Accelerazione_Media_SX
2022-03-03T18:51:33.8Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:03.3Z;0.44;Accelerazione_Media_SX
2022-03-03T18:51:34Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:03.5Z;0.47;Accelerazione_Media_SX
2022-03-03T18:51:37.3Z;1.15;Accelerazione_Media_DX;2022-03-03T18:52:03.7Z;0.44;Accelerazione_Media_SX
2022-03-03T18:51:37.5Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:07Z;0.47;Accelerazione_Media_SX
2022-03-03T18:51:37.8Z;1.18;Accelerazione_Media_DX;2022-03-03T18:52:07.2Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:38Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:07.4Z;0.45;Accelerazione_Media_SX
2022-03-03T18:51:38.2Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:07.7Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:38.4Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:07.9Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:38.7Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:10.8Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:38.9Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:11.1Z;0.45;Accelerazione_Media_SX
2022-03-03T18:51:39.2Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:19.8Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:39.4Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:23.2Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:39.6Z;1.19;Accelerazione_Media_DX;2022-03-03T18:52:26.5Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:39.9Z;1.15;Accelerazione_Media_DX;2022-03-03T18:52:26.7Z;0.48;Accelerazione_Media_SX
2022-03-03T18:51:40.1Z;1.18;Accelerazione_Media_DX;2022-03-03T18:52:26.9Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:40.3Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:27.2Z;0.45;Accelerazione_Media_SX
2022-03-03T18:51:40.6Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:27.4Z;0.45;Accelerazione_Media_SX
2022-03-03T18:51:40.8Z;1.19;Accelerazione_Media_DX;2022-03-03T18:52:27.7Z;0.45;Accelerazione_Media_SX
2022-03-03T18:51:41Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:27.9Z;0.48;Accelerazione_Media_SX
2022-03-03T18:51:41.3Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:28.2Z;0.47;Accelerazione_Media_SX
2022-03-03T18:51:41.5Z;1.15;Accelerazione_Media_DX;2022-03-03T18:52:28.4Z;0.47;Accelerazione_Media_SX
2022-03-03T18:51:52.4Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:30.9Z;0.45;Accelerazione_Media_SX
2022-03-03T18:51:52.6Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:31.2Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:52.8Z;1.15;Accelerazione_Media_DX;2022-03-03T18:52:37.3Z;0.45;Accelerazione_Media_SX
2022-03-03T18:51:53.1Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:37.6Z;0.47;Accelerazione_Media_SX
2022-03-03T18:51:53.3Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:40.5Z;0.47;Accelerazione_Media_SX
2022-03-03T18:51:53.6Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:41.1Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:53.8Z;1.18;Accelerazione_Media_DX;2022-03-03T18:52:41.3Z;0.48;Accelerazione_Media_SX
2022-03-03T18:51:54.1Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:41.6Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:54.3Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:41.8Z;0.45;Accelerazione_Media_SX
2022-03-03T18:51:54.5Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:42Z;0.45;Accelerazione_Media_SX
2022-03-03T18:51:54.7Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:42.3Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:55Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:42.6Z;0.45;Accelerazione_Media_SX
2022-03-03T18:51:55.2Z;1.15;Accelerazione_Media_DX;2022-03-03T18:52:42.8Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:55.5Z;1.15;Accelerazione_Media_DX;2022-03-03T18:52:43Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:55.7Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:43.3Z;0.45;Accelerazione_Media_SX
2022-03-03T18:51:55.9Z;1.18;Accelerazione_Media_DX;2022-03-03T18:52:43.5Z;0.45;Accelerazione_Media_SX
2022-03-03T18:51:56.1Z;1.17;Accelerazione_Media_DX;2022-03-03T18:52:43.7Z;0.46;Accelerazione_Media_SX
2022-03-03T18:51:56.4Z;1.16;Accelerazione_Media_DX;2022-03-03T18:52:44Z;0.45;Accelerazione_Media_SX
