_time;_value;host;_time;_value;host
2022-02-21T18:03:56.5Z;1,92;Accelerometro_DX;2022-02-21T18:03:24.8Z;2,97;Accelerometro_SX
2022-02-21T18:03:59.6Z;1,92;Accelerometro_DX;2022-02-21T18:03:25.2Z;2,55;Accelerometro_SX
2022-02-21T18:04:00.3Z;1,98;Accelerometro_DX;2022-02-21T18:03:25.7Z;2,22;Accelerometro_SX
2022-02-21T18:04:03.6Z;1,99;Accelerometro_DX;2022-02-21T18:03:26.1Z;2,13;Accelerometro_SX
2022-02-21T18:04:05.3Z;2,02;Accelerometro_DX;2022-02-21T18:03:26.5Z;2,92;Accelerometro_SX
2022-02-21T18:04:05.7Z;2,02;Accelerometro_DX;2022-02-21T18:03:27Z;2,91;Accelerometro_SX
2022-02-21T18:04:06.4Z;2,03;Accelerometro_DX;2022-02-21T18:03:27.4Z;3,02;Accelerometro_SX
2022-02-21T18:04:06.8Z;2,03;Accelerometro_DX;2022-02-21T18:03:27.8Z;3,05;Accelerometro_SX
2022-02-21T18:04:08.1Z;2,03;Accelerometro_DX;2022-02-21T18:03:28.3Z;3,06;Accelerometro_SX
2022-02-21T18:04:08.5Z;2,04;Accelerometro_DX;2022-02-21T18:03:28.7Z;3,08;Accelerometro_SX
2022-02-21T18:04:11.6Z;2,05;Accelerometro_DX;2022-02-21T18:03:29.2Z;3,08;Accelerometro_SX
2022-02-21T18:04:12Z;2,05;Accelerometro_DX;2022-02-21T18:03:29.6Z;3,09;Accelerometro_SX
2022-02-21T18:04:12.5Z;2,04;Accelerometro_DX;2022-02-21T18:03:30Z;3,09;Accelerometro_SX
2022-02-21T18:04:16.1Z;2,04;Accelerometro_DX;2022-02-21T18:03:33.2Z;3,11;Accelerometro_SX
2022-02-21T18:04:19.1Z;2,03;Accelerometro_DX;2022-02-21T18:03:33.6Z;3,14;Accelerometro_SX
2022-02-21T18:04:19.6Z;2,04;Accelerometro_DX;2022-02-21T18:03:36.7Z;3,15;Accelerometro_SX
2022-02-21T18:04:22.7Z;2,03;Accelerometro_DX;2022-02-21T18:03:37.1Z;3,16;Accelerometro_SX
