_time;_value;_field;_time;_value;_field;;_time;_value;_field;_time;_value;_field
2022-05-09T16:51:09.3Z;10.88;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.27;Accelerazione_Max_SX;;2022-05-09T16:51:08.7Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:08.7Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:10.5Z;10.87;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.29;Accelerazione_Max_SX;;2022-05-09T16:51:10.2Z;10.84;Accelerazione_Media_DX;2022-05-09T16:51:10Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:11Z;10.88;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.29;Accelerazione_Max_SX;;2022-05-09T16:51:10.8Z;10.64;Accelerazione_Media_DX;2022-05-09T16:51:10.7Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:12Z;10.89;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.27;Accelerazione_Max_SX;;2022-05-09T16:51:11.7Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:11.6Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:13.1Z;10.88;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.3;Accelerazione_Max_SX;;2022-05-09T16:51:12.5Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:12.3Z;10.26;Accelerazione_Media_SX
2022-05-09T16:51:14Z;10.96;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.29;Accelerazione_Max_SX;;2022-05-09T16:51:13.4Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:13.3Z;10.06;Accelerazione_Media_SX
2022-05-09T16:51:14.9Z;10.88;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.28;Accelerazione_Max_SX;;2022-05-09T16:51:14.6Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:14.6Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:16.1Z;10.87;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.28;Accelerazione_Max_SX;;2022-05-09T16:51:15.6Z;10.65;Accelerazione_Media_DX;2022-05-09T16:51:15.4Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:17Z;10.97;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.28;Accelerazione_Max_SX;;2022-05-09T16:51:16.7Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:16.3Z;10.24;Accelerazione_Media_SX
2022-05-09T16:51:17.9Z;10.89;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.27;Accelerazione_Max_SX;;2022-05-09T16:51:17.7Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:17Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:18.9Z;10.87;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.29;Accelerazione_Max_SX;;2022-05-09T16:51:18.6Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:17.9Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:19.8Z;10.88;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.28;Accelerazione_Max_SX;;2022-05-09T16:51:19.3Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:18.7Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:20.7Z;10.89;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.28;Accelerazione_Max_SX;;2022-05-09T16:51:20.4Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:19.3Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:22.2Z;10.87;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.27;Accelerazione_Max_SX;;2022-05-09T16:51:21.7Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:20.4Z;10.24;Accelerazione_Media_SX
2022-05-09T16:51:22.9Z;10.88;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.28;Accelerazione_Max_SX;;2022-05-09T16:51:22.7Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:21.5Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:24.2Z;10.88;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.28;Accelerazione_Max_SX;;2022-05-09T16:51:23.7Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:22.6Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:25.2Z;10.87;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.27;Accelerazione_Max_SX;;2022-05-09T16:51:24.9Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:23.5Z;10.24;Accelerazione_Media_SX
2022-05-09T16:51:26.1Z;10.89;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.29;Accelerazione_Max_SX;;2022-05-09T16:51:25.7Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:24.7Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:27.1Z;10.9;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.27;Accelerazione_Max_SX;;2022-05-09T16:51:26.8Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:25.7Z;10.24;Accelerazione_Media_SX
2022-05-09T16:51:27.5Z;10.88;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.26;Accelerazione_Max_SX;;2022-05-09T16:51:27.3Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:26.6Z;10.24;Accelerazione_Media_SX
2022-05-09T16:51:28.2Z;10.96;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.28;Accelerazione_Max_SX;;2022-05-09T16:51:27.9Z;10.86;Accelerazione_Media_DX;2022-05-09T16:51:27.2Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:29.3Z;10.88;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.29;Accelerazione_Max_SX;;2022-05-09T16:51:28.8Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:28Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:30.3Z;10.88;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.27;Accelerazione_Max_SX;;2022-05-09T16:51:30.1Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:29Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:31.1Z;10.88;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.28;Accelerazione_Max_SX;;2022-05-09T16:51:30.8Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:30.2Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:32Z;10.87;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.28;Accelerazione_Max_SX;;2022-05-09T16:51:31.7Z;10.64;Accelerazione_Media_DX;2022-05-09T16:51:31Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:32.8Z;10.89;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.33;Accelerazione_Max_SX;;2022-05-09T16:51:32.6Z;10.86;Accelerazione_Media_DX;2022-05-09T16:51:31.9Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:33.8Z;10.97;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.34;Accelerazione_Max_SX;;2022-05-09T16:51:33.5Z;10.86;Accelerazione_Media_DX;2022-05-09T16:51:32.7Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:34.4Z;10.88;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.27;Accelerazione_Max_SX;;2022-05-09T16:51:34.1Z;10.86;Accelerazione_Media_DX;2022-05-09T16:51:33.7Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:35.2Z;10.96;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.27;Accelerazione_Max_SX;;2022-05-09T16:51:35Z;10.86;Accelerazione_Media_DX;2022-05-09T16:51:34.4Z;10.24;Accelerazione_Media_SX
2022-05-09T16:51:36.3Z;10.88;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.28;Accelerazione_Max_SX;;2022-05-09T16:51:36.1Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:34.9Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:36.9Z;10.89;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.27;Accelerazione_Max_SX;;2022-05-09T16:51:36.7Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:35.9Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:38.4Z;10.87;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.33;Accelerazione_Max_SX;;2022-05-09T16:51:37.8Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:36.7Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:39.5Z;10.89;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.28;Accelerazione_Max_SX;;2022-05-09T16:51:39.1Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:37.6Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:40.6Z;10.88;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.28;Accelerazione_Max_SX;;2022-05-09T16:51:40.3Z;10.86;Accelerazione_Media_DX;2022-05-09T16:51:38.9Z;10.25;Accelerazione_Media_SX
